genres,artists,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
"['canzone napoletana', 'classic italian pop', 'vintage italian pop']",Achille Togliani,99,39,190.87683,5,20,6,21,350
"['adult standards', 'brill building pop', 'easy listening', 'jazz clarinet', 'lounge']",Acker Bilk,83,29,177.90467,18,10,4,25,4033
"['chillwave', 'metropopolis', 'shimmer pop', 'vapor soul']",Active Child,28,57,321.453,54,13,3,25,4900
"['dance rock', 'double drumming', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'punk', 'ska']",Adam & The Ants,1,33,191.24,75,13,3,42,3900
"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave']",Adam Ant,9,60,220.40663,91,36,7,67,3638
"['pop', 'post-teen pop']",Adam Hicks,17,53,176.301,74,13,5,52,5529
"['indie poptimism', 'modern alternative rock', 'rebel blues']",Adam Jensen,36,56,189.6,72,15,4,39,6500
"['dance pop', 'electropop', 'idol', 'pop', 'pop dance', 'post-teen pop']",Adam Lambert,5,57,221.5166,81,17,8,50,6080
['pop rock'],Adam Levine,19,57,240.7,71,19,11,54,6163
"['indie anthem-folk', 'indie cafe pop', 'indie pop', 'new jersey indie']",Adam Melchor,95,49,216,28,15,3,20,6500
"['british soul', 'pop', 'pop soul', 'uk pop']",Adele,44,56,248.43158,50,13,5,38,6148
"['hip pop', 'new jack swing', 'r&b', 'urban contemporary']",Adina Howard,10,71,266.016,68,13,10,67,4880
['pop r&b'],Adrian Marcel,5,85,237.653,53,25,7,60,5900
['spanish indie pop'],Adriana Proenza,89,52,187.932,13,9,4,12,8300
"['art pop', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'small room', 'stomp and holler']",Adrianne Lenker,94,44,157.44,17,12,5,49,5000
"['classic italian pop', 'italian adult pop']",Adriano Celentano,40,76,237.33833,51,15,6,43,4467
"['brostep', 'canadian electronic', 'chillstep', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']",Adventure Club,2,57,255.962,66,10,5,18,5350
['indie pop'],Adventure Time,86,58,107.93775,29,15,7,53,6300
"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",Afrojack,10,71,280.34055,83,28,10,50,5091
"['deep indian pop', 'filmi', 'mollywood']",Afsal,98,44,195.226,36,26,30,65,0
"['neon pop punk', 'pixie', 'pop punk', 'viral pop']",Against The Current,6,47,212.391,67,24,9,15,7700
['chamber pop'],Agnes,1,62,256.213,92,11,3,72,6200
['chamber pop'],Agnes Obel,96,44,216.5705,14,12,4,18,5200
"['classic swedish pop', 'europop', 'new wave pop', 'swedish pop']",Agnetha Fältskog,6,60,295.311,38,5,3,25,4333
"['cumbia peruana', 'pop peruano']",Agua Marina,39,76,216.867,52,5,3,92,5700
['arab pop'],Ahlam,76,44,283.8755,19,10,7,27,0
"['afghan pop', 'afghan traditional']",Ahmad Zahir,89,31,331.186,37,16,4,66,800
"['alternative r&b', 'pop', 'r&b', 'urban contemporary']",Aiko,89,49,109.00533,22,16,31,25,7300
"['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']",Aim,4,79,295.68957,73,19,8,52,5200
"['folk', 'lilith', 'new wave pop', 'permanent wave', 'pop rock']",Aimee Mann,37,58,239.18217,54,24,4,47,4433
"['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']",Aimer,0,37,233.493,89,14,9,46,6200
"['emo', 'pop punk', 'pop rock', 'socal pop punk']",Air,44,47,265.03062,53,19,4,27,4400
"['folk-pop', 'hopebeat', 'indie poptimism', 'indiecoustica', 'shiver pop']",Air Traffic Controller,13,62,163.453,73,20,9,64,5700
"['american shoegaze', 'dream pop', 'dreamgaze', 'indie shoegaze', 'nu gaze', 'shoegaze']",Airiel,0,19,566.467,95,10,4,46,4700
"['indie folk', 'nyc pop']",Aisha Badru,99,48,152.96,15,11,4,12,6200
"['latin pop', 'latin talent show', 'spanish pop']",Aitana,4,64,198.947,78,11,6,32,6800
"['mongolian hip hop', 'mongolian pop']",Aka Odko,2,79,145.3985,49,38,18,43,0
"['thai folk', 'thai indie rock', 'thai pop']",Ake Surachet,39,76,221.8085,62,23,3,63,0
"['j-pop', 'japanese city pop', 'japanese new wave', 'kayokyoku', 'techno kayo']",Akina Nakamori,56,54,254.26,69,24,3,35,4400
['dance pop'],Ako,12,78,198.928,88,48,17,20,5000
['dance pop'],Akon,11,74,234.08367,65,19,12,56,5290
"['australian pop', 'australian singer-songwriter', 'folk-pop', 'indie anthem-folk']",Al Alberts,70,42,165.93333,22,22,4,46,4033
['classic italian pop'],Al Bano,44,39,260.493,50,31,3,22,4700
"['adult standards', 'dixieland', 'easy listening', 'jazz trumpet', 'lounge', 'new orleans jazz', 'space age pop']",Al Hirt,63,44,146.09278,47,16,4,55,2465
"['adult standards', 'brill building pop', 'easy listening', 'lounge']",Al Martino,69,34,170.36543,32,21,3,39,2784
"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']",Al Stewart,24,52,312.84353,56,13,3,47,3307
['arab pop'],Alabina,17,64,225.667,97,35,7,91,5000
"['chanson', 'french indie pop', 'french pop', 'french rock', 'nouvelle chanson francaise']",Alain Bashung,22,75,196.44,54,14,3,78,5000
"['chanson', 'french indie pop', 'french pop', 'french rock', 'nouvelle chanson francaise']",Alain Souchon,4,71,324.907,80,23,3,96,5800
"['c-pop', 'cantopop', 'classic cantopop']",Alan Tam,71,47,243.07867,28,17,3,24,4022
"['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'lilith', 'pop rock', 'singer-songwriter']",Alanis Morissette,18,47,254.29447,65,27,6,36,4937
"['classic canadian rock', 'new wave pop']",Alannah Myles,18,61,260.31567,56,18,5,36,5467
"['spanish new wave', 'spanish pop', 'spanish synthpop']",Alaska Y Dinarama,19,59,223.12467,81,11,3,63,5833
"['bolero', 'cantautor', 'nueva cancion', 'pop romantico', 'trova']",Alberto Cortez,49,43,212.16571,65,20,5,58,4314
"['classic italian pop', 'swing italiano', 'vintage italian pop']",Alberto Rabagliati,98,42,183.41439,26,17,5,46,221
"['bolero', 'mexican rock-and-roll', 'pop romantico', 'ranchera']",Alberto Vazquez,71,47,179.76217,48,18,5,44,5117
['vintage italian pop'],Aldo Donà,97,59,184.267,46,25,5,94,0
['pop romantico'],Aldo Monges,86,46,235.267,35,10,3,37,3900
['pop'],Alec Benjamin,63,67,183.71009,58,17,6,57,7165
['operatic pop'],Aled Jones,84,36,206.733,19,7,3,10,4900
"['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol']",Alejandra Guzman,24,57,235.60553,62,26,3,53,5179
"['latin', 'latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'ranchera', 'regional mexican']",Alejandro Fernández,59,56,217.09522,44,20,4,53,5553
"['argentine rock', 'latin pop', 'rock nacional']",Alejandro Lerner,35,63,234.893,44,12,3,32,5300
"['cantautor', 'latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop']",Alejandro Sanz,38,55,272.21159,64,15,5,45,5732
"['latin', 'latin alternative', 'latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol']",Aleks Syntek,32,63,259.85938,67,30,4,63,6054
"['italian tenor', 'operatic pop']",Alessandro Safina,52,28,218.8,33,11,4,26,5000
"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'pop dance', 'post-teen pop']",Alessia Cara,29,52,209.22104,60,16,13,42,6846
"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'tropical house']",Alesso,9,56,227.53514,78,17,5,40,6393
"['indie cafe pop', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']",Alex & Sierra,74,48,218.33767,34,12,3,26,6767
"['alternative rock', 'art pop', 'bubblegrunge', 'freak folk', 'indie folk', 'indie garage rock', 'indie pop', 'indie rock', 'lo-fi indie', 'philly indie']",Alex G,51,67,166.071,49,12,4,41,5000
"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'neo soul', 'pop r&b']",Alex Isley,83,34,315.102,18,11,4,26,4700
"['dance pop', 'electropop', 'indie poptimism']",Alex Newell,31,65,188.73133,80,23,7,59,6400
