genres,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
ecuadorian pop,38.5037897,73.8414683,236.55410709999998,64.1626984,18.5139087,6.583749999999999,77.1323413,5095.436508000001
egyptian pop,9.691111099999999,75.8333333,236.204,75.0666667,16.5433333,5.4144444,82.5222222,5322.222222
electro-pop francais,35.1533333,70.8166667,271.9173333,53.75,22.4033333,4.1833333,37.3333333,6050.0
electropop,18.0464128,63.7709341,229.33217480000002,67.9317144,18.3917721,7.781152500000001,46.186222799999996,5775.070926
electropowerpop,4.0617938,57.53212920000001,208.62272049999999,79.0592105,21.5713756,8.8457765,58.2918182,5090.536569
estonian pop,36.0,51.9285714,173.0508571,83.95714290000001,30.6571429,16.8185714,51.071428600000004,5842.857143
etherpop,33.8648599,57.8171525,235.5104914,55.4428049,13.7541179,7.138494400000001,33.599455999999996,5278.815822
ethiopian pop,74.9,46.9,302.293,20.4,10.6,5.18,34.2,3900.0
europop,15.0140775,66.2348924,241.76112080000001,76.1082483,19.6386156,5.4330727,65.1537843,5219.089771
experimental pop,32.7269404,53.598143300000004,239.8382007,54.4202118,17.673778900000002,5.401402,43.1029719,4729.447245
faroese pop,87.5,37.1,171.973,33.4,11.4,2.96,30.8,3700.0
folk-pop,39.3097574,56.9047784,210.4994004,52.6021384,14.444700899999999,4.9109714,42.1016253,5612.680488
french indie pop,44.255833300000006,67.7166667,252.1443056,54.652777799999996,18.480555600000002,4.3183333,51.4961111,5394.444444
french pop,50.7018646,55.726173599999996,230.93365020000002,47.9486857,18.5283846,4.629342899999999,51.163411,4909.435678
french synthpop,22.547061,66.3498667,279.5734187,73.5852,15.146799999999999,4.35116,66.9918133,5498.266667
funk pop,30.4111111,75.6888889,198.5885556,71.39999999999999,16.9033333,19.8088889,74.1333333,7288.888889000001
futurepop,3.9575,64.8625,340.119625,60.525,27.534999999999997,3.40875,63.425,4600.0
gabonese pop,4.83,73.8,342.76,56.39999999999999,7.24,3.81,93.30000000000001,3600.0
garage pop,15.7235883,45.955,191.4494,82.4158333,18.17175,6.587750000000001,56.250833300000004,4427.5
gauze pop,14.8183103,58.3329957,247.7176916,57.144224099999995,14.8558621,4.8598276,33.9912069,5538.362069
german pop,33.2999185,64.47759400000001,244.1381126,57.1564599,16.095655999999998,4.6763252,54.49223680000001,5545.1503760000005
german pop rock,29.975039999999996,61.839999999999996,220.36939999999998,55.14,12.692,3.25,50.88,7040.000000000001
glitch pop,21.568,53.5,300.2108,67.88,11.23,3.7159999999999997,29.82,5600.0
greek pop,78.5178025,58.306399,197.92836540000002,45.6672708,16.2594283,5.166074200000001,67.42108730000001,2245.350052
grunge pop,0.0894975,54.949999999999996,211.4038333,86.96666669999999,28.641666700000002,6.1366667,42.05,4216.6666669999995
guatemalan pop,62.2,59.099999999999994,265.307,67.2,11.200000000000001,3.75,26.700000000000003,7400.0
guinean pop,53.6,47.449999999999996,424.133,54.50000000000001,13.0,3.685,63.0,3200.0
gujarati pop,73.6,61.9,195.253,42.8,13.600000000000001,2.81,54.2,6400.0
haryanvi pop,99.4,56.2,175.34,20.0,15.0,7.5,21.6,0.0
hip pop,17.139142399999997,70.1733392,254.91479569999998,65.5643221,18.6136789,15.9223962,59.3900285,4789.587654999999
hokkien pop,57.535000000000004,46.815,312.40195,51.32,50.465,4.7065,33.725,4865.0
hungarian pop,95.1,59.0,184.2,41.199999999999996,9.77,3.26,74.6,0.0
hyperpop,24.563785499999998,63.640267900000005,175.0004098,61.49250000000001,24.681446400000002,12.0362589,55.38125,5571.4285709999995
icelandic pop,45.3352365,49.303686400000004,321.676518,39.6325082,26.1907577,3.9371627,21.7607663,4616.721753
ilocano pop,81.10625,68.65625,177.605125,26.665625,14.37125,3.729375,76.63125,3406.25
indie cafe pop,51.855300699999994,56.415338999999996,215.42761240000002,44.088866700000004,14.745829599999999,6.0478461,35.8247342,6164.531789000001
indie dream pop,39.1695,57.466666700000005,211.4243333,56.1666667,11.408333299999999,3.9383333,36.7166667,5283.3333330000005
indie electropop,18.826847899999997,62.8647619,217.2971591,64.2457278,19.6933482,8.790439899999999,37.4672024,5844.943182
indie pop,31.057207399999996,55.8455291,222.97768,59.977673200000005,17.6004229,6.0591028,46.5099676,5499.434738
indie pop rap,15.374380300000002,66.6196204,219.1652834,71.0583956,22.085616299999998,18.7195315,50.9255169,5559.766412
indie poptimism,17.298945099999997,60.749898,218.8771395,69.0319909,17.277018299999998,7.139250799999999,45.713893,5773.622076000001
indie psych-pop,56.9444444,58.4888889,199.1857778,39.2388889,12.7438889,5.1766667,34.1033333,6022.222222
indonesian pop,40.0855556,48.3111111,233.4244444,40.1555556,19.2188889,5.029999999999999,34.4888889,5500.0
irish pop,32.3187,56.2735,193.648415,58.716,10.3569,5.81855,38.8836,6068.5
israeli pop,42.9299524,63.6495238,223.73678750000002,55.5557857,17.465249999999997,7.732452400000001,47.6619881,5445.238095
italian adult pop,48.9677503,53.9930939,242.30622,52.431961400000006,18.4877659,7.405157099999999,55.7170655,4547.504327
italian indie pop,36.3783333,64.75,266.1243333,60.66666670000001,17.3783333,3.55,61.5333333,5166.6666669999995
italian pop rock,33.5666667,63.33333330000001,319.7336667,33.800000000000004,11.959999999999999,2.9466666999999998,48.2666667,4866.6666669999995
j-pop,11.5216686,53.0304623,256.3605287,81.96657499999999,21.6876253,6.2099655,55.524423,5630.558333
j-pop girl group,26.545,60.4833333,235.8033333,86.6333333,16.6033333,5.135,82.0166667,4800.0
j-poprock,8.0916313,48.928714899999996,242.5582588,87.9750223,20.2089978,8.0165294,52.6038754,5740.855655
jangle pop,12.4698558,47.8479349,227.1706668,71.5127808,21.3560128,4.3851251,63.802421700000004,3676.703886
japanese city pop,27.598882600000003,66.4746924,273.5299679,67.5896995,17.628474999999998,4.1774172,69.3864715,3985.7484130000003
japanese dream pop,17.431,62.11,512.7175,70.67,15.811,4.4639999999999995,49.34,4630.0
japanese electropop,8.3153,66.4125,187.1161875,81.71875,22.319375,10.8825,66.9125,5962.5
japanese pop punk,8.0177772,42.956250000000004,253.7471667,86.6520833,25.483958299999998,5.3827083,52.309722199999996,4402.0833330000005
jazz pop,71.302306,60.026416999999995,248.9938142,32.4711543,14.833585,5.3749739,31.299528799999997,5199.066051
jordanian pop,0.262,72.5,247.933,87.4,9.58,3.9600000000000004,74.8,6700.0
k-pop,18.6775346,67.5619961,214.4475994,74.31872990000001,19.161087199999997,8.8007334,59.1478375,6355.665413
k-pop boy group,14.9082012,66.0710764,223.4545684,75.2909173,16.0608791,7.2937455,59.2972136,5894.349568
k-pop girl group,11.578278000000001,71.3647289,203.8132191,82.74599339999999,18.7670334,9.0794469,64.8723462,6487.079304
kashmiri pop,98.9875,66.55,180.375125,15.47875,14.854999999999999,24.575,71.3875,0.0
korean pop,38.7705924,61.8350498,233.6829983,58.7825028,14.8595017,5.6028239,53.6516058,4939.147287
la pop,18.7981546,57.729743600000006,228.5885842,65.218895,21.4267906,11.1945482,38.088473699999994,5906.0012209999995
latin arena pop,30.0596749,60.683727499999996,247.3522298,60.981529099999996,20.255679400000002,5.0029507,51.856092399999994,5625.479713
latin pop,33.537724000000004,62.736564900000005,233.6686798,63.093339699999994,18.5847677,5.6227445000000005,59.4827435,5459.49554
latin viral pop,22.4974163,70.3072061,224.5840761,67.94923510000001,18.251566,9.2521457,61.93312399999999,5556.642511999999
latvian pop,72.5666667,27.666666699999997,211.369,39.866666699999996,9.3133333,3.15,24.4933333,66.6666667
lebanese pop,61.3654762,53.1735317,323.6367034,41.990575400000004,17.0081548,4.8532123,52.9188294,3271.825397
mainland chinese pop,55.95,55.50000000000001,269.357,45.875,14.094999999999999,3.6174999999999997,42.9,5600.0
malaysian mandopop,61.0375,52.4375,264.84025,42.6875,13.895,3.11125,24.712500000000002,5037.5
malaysian pop,9.87925,55.7875,238.1005,57.987500000000004,13.91125,4.2,30.17,5262.5
mande pop,64.29794869999999,53.4748718,371.8982974,37.4073077,16.0789872,3.9849615,58.9984615,4468.589744
mandopop,51.217430799999995,55.7620195,270.475126,45.9949001,17.1066386,3.2530525,34.0763406,5191.316623000001
marathi pop,27.800000000000004,74.4,309.64,70.0,6.800000000000001,3.7600000000000002,86.6,5900.0
metropopolis,20.1146239,59.332244599999996,243.8033163,67.2333881,16.5896356,5.9554127999999995,43.7748418,5293.71542
mexican pop,31.845359499999997,64.6887286,232.8024995,63.4427314,18.8565145,5.7880198,56.3058439,5712.792212
mexican pop punk,0.58818,49.07,267.9959,80.31,17.128,6.1850000000000005,62.5,6320.0
modern alternative pop,33.1418846,59.203717899999994,215.4054231,52.8910256,13.2267949,9.593974399999999,41.154743599999996,6710.25641
modern dream pop,24.7654657,51.71388890000001,243.6022529,67.8004386,14.6610088,3.5979094000000003,47.9725731,5394.883041
modern indie pop,50.1571042,61.22395830000001,199.0614688,41.4976042,26.8273437,15.4220833,46.9719792,7131.7708330000005
modern power pop,12.739157500000001,46.667351000000004,187.56411780000002,80.9819014,21.8761546,4.7102341,53.0792664,4424.953557
moldovan pop,9.723888899999999,74.15,228.4903333,88.9055556,13.716111100000001,4.07,49.0144444,4255.555556
mongolian pop,1.635,79.05,145.3985,48.85,37.72,18.45,43.485,0.0
musica popular colombiana,43.4351849,68.609215,242.7850035,55.669681999999995,18.9046372,6.0639977,80.1061176,4134.042928
musica popular mineira,33.8840841,53.87235580000001,175.02113029999998,46.0924038,19.0366442,5.8488317,58.39807689999999,4141.105769
musica popular paraense,57.02,64.05999999999999,185.7894,51.559999999999995,16.922,11.974,71.2,4200.0
