genres,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
classic latvian pop,7256.66667,2766.66667,0.211369,3986.6666700000005,931.33333,315.0,2449.33333,6666.66667
classic mandopop,5573.23246,5410.27955,0.27014309000000003,4284.49652,2214.77962,352.89181,3666.3887299999997,441646.0658999999
classic norwegian pop,3701.5,5045.0,0.218527,6305.0,1167.0,568.0000000000001,7220.0,385000.0
classic pakistani pop,7818.773810000001,5344.36812,0.27417632049999996,4024.7990900000004,2119.29846,774.3239100000001,6448.53465,204486.26010000004
classic persian pop,7216.739129999999,4812.65217,0.3035540022,4392.0869600000005,2011.06522,763.6087,5437.28261,325652.17390000005
classic peruvian pop,6624.107139999999,6254.50893,0.21870386160000002,6010.17857,2150.55357,747.9553599999999,7961.875000000001,215892.8571
classic polish pop,5916.66667,6066.6666700000005,0.18854116669999998,4596.66667,1073.0,410.00000000000006,6870.0,418333.33330000006
classic punjabi pop,5857.66667,6650.0,0.2174523333,5286.6666700000005,2733.33333,695.0000000000001,7350.0,340000.0
classic russian pop,7841.7613599999995,5780.662880000001,0.1735162027,2853.77273,1721.07955,1004.64015,6991.3825799999995,355833.3333
classic swedish pop,4321.47451,5993.2941200000005,0.1989964667,5907.2686300000005,1608.2470600000001,539.9294100000001,6498.627449999999,407980.3922
classic thai pop,3690.0,5660.0,0.234853,7459.999999999999,959.0,332.0,6300.0,10000.0
classic tunisian pop,1759.9999999999998,8070.0,0.281443,6390.0,590.0,416.0,6919.999999999999,490000.0
classic turkish pop,7281.66667,4487.222220000001,0.2078758889,4991.66667,3583.88889,504.94444,5717.22222,361666.6667
classic uk pop,3754.6384799999996,5572.61496,0.22499812789999998,5539.411010000001,1877.87262,556.52345,6244.34854,404199.6483
classic venezuelan pop,5824.46843,6019.01261,0.2153952667,5917.402779999999,1348.99223,557.4763600000001,7893.05313,359006.2692
collage pop,2494.7666700000004,6486.25,0.19645812499999998,7225.41667,2855.8125,1202.125,5208.125,480208.33330000006
colombian pop,3208.9601200000006,7208.163450000001,0.22330730480000005,6690.302820000001,1544.97196,752.74942,6866.92889,637385.5681
country pop,2011.67692,5811.0050200000005,0.21041763130000002,6885.56523,1693.1385500000001,451.97756999999996,5552.32685,574276.5665999999
croatian pop,3488.5833300000004,5615.83333,0.2319842083,7098.75,1182.5,473.66666999999995,5448.33333,408750.0
cumbia pop,673.5,7605.0,0.2155198333,6911.66667,3115.0,966.0,8238.33333,633333.3333
cypriot pop,9471.11111,3896.6666700000005,0.1969956667,5888.88889,2165.33333,380.0,7511.11111,0.0
dance pop,1836.86807,6518.11584,0.2291908339,6843.806820000001,1816.7060500000002,844.31742,5456.98019,556683.3968
danish electropop,9460.0,5420.0,0.247818,1600.0,2630.0,365.0,1980.0,530000.0
danish pop,419.64444,7442.063490000001,0.2231055714,7272.698410000001,1320.2857099999999,967.71429,5181.42857,596507.9365
danish pop rock,5376.54762,4691.66667,0.35471878570000004,4593.095240000001,5212.119049999999,422.21428999999995,4718.095240000001,445714.2857
deep acoustic pop,35.699999999999996,4190.0,0.214333,7340.000000000001,2430.0,294.0,7289.999999999999,360000.0
deep dance pop,1054.5,7105.0,0.25724,8330.0,2820.0,1515.0,4440.0,735000.0
deep indian pop,6177.19075,6209.86972,0.26009114720000004,4319.81999,1780.7041900000002,943.5673599999999,6375.93789,251412.719
deep pop edm,2973.14286,6155.0,0.2130948571,4900.71429,991.9285699999999,496.07143,2936.57143,625000.0
desi pop,4532.90193,6330.71066,0.28668203950000004,5792.7891500000005,1562.11994,878.51035,6536.817499999999,417113.5988
dominican pop,3427.5687399999997,7313.650539999999,0.2600056177,6452.18907,1561.41142,683.8609099999999,8064.198600000001,468842.212
dream pop,3192.3820100000003,4244.34378,0.2821678662,5652.7107,1664.0646199999999,473.71713,3640.83517,448281.03040000005
dutch pop,3224.56227,6546.865320000001,0.19966368550000002,6058.47475,1489.4094300000002,909.84478,5033.64646,576676.7677
dutch rap pop,897.86667,9074.0,0.1513318667,7092.66667,802.26667,619.33333,7282.6666700000005,672666.6667000001
early synthpop,679.22068,6424.305560000001,0.26040584260000005,6215.27778,1887.24228,478.47377,6312.373460000001,367145.0617
ecuadorian pop,3850.3789699999998,7384.146830000001,0.23655410710000002,6416.26984,1851.3908700000002,658.3749999999999,7713.234129999999,509543.65080000006
egyptian pop,969.11111,7583.33333,0.236204,7506.66667,1654.33333,541.44444,8252.22222,532222.2222000001
electro-pop francais,3515.33333,7081.66667,0.2719173333,5375.0,2240.33333,418.33333,3733.33333,605000.0
electropop,1804.6412799999998,6377.0934099999995,0.22933217479999998,6793.17144,1839.17721,778.1152500000001,4618.6222800000005,577507.0926000001
electropowerpop,406.17938000000004,5753.212920000001,0.20862272050000003,7905.921050000001,2157.13756,884.57765,5829.18182,509053.6569
estonian pop,3600.0,5192.85714,0.1730508571,8395.71429,3065.71429,1681.85714,5107.14286,584285.7143
etherpop,3386.48599,5781.71525,0.2355104914,5544.28049,1375.41179,713.8494400000001,3359.9456000000005,527881.5822
ethiopian pop,7490.000000000001,4690.0,0.30229300000000003,2039.9999999999998,1060.0,518.0,3420.0000000000005,390000.0
europop,1501.40775,6623.489240000001,0.24176112079999998,7610.82483,1963.86156,543.30727,6515.37843,521908.9771
experimental pop,3272.69404,5359.814329999999,0.23983820069999998,5442.02118,1767.3778900000002,540.1402,4310.29719,472944.7245
faroese pop,8750.0,3710.0,0.17197300000000001,3340.0,1140.0,296.0,3080.0,370000.0
folk-pop,3930.9757400000003,5690.47784,0.2104994004,5260.21384,1444.47009,491.09714,4210.1625300000005,561268.0488
french indie pop,4425.58333,6771.6666700000005,0.2521443056,5465.27778,1848.0555599999998,431.83333,5149.61111,539444.4443999999
french pop,5070.18646,5572.61736,0.23093365019999998,4794.86857,1852.83846,462.9342899999999,5116.341100000001,490943.56779999996
french synthpop,2254.7061,6634.98667,0.27957341869999996,7358.52,1514.68,435.116,6699.18133,549826.6667
funk pop,3041.11111,7568.888889999999,0.1985885556,7139.999999999999,1690.33333,1980.88889,7413.33333,728888.8889
futurepop,395.75,6486.25,0.340119625,6052.5,2753.5,340.875,6342.5,460000.0
gabonese pop,483.0,7380.0,0.34276,5639.999999999999,724.0,381.0,9330.0,360000.0
garage pop,1572.35883,4595.5,0.1914494,8241.58333,1817.175,658.7750000000001,5625.0833299999995,442750.0
gauze pop,1481.83103,5833.29957,0.24771769159999998,5714.42241,1485.58621,485.98276,3399.12069,553836.2069
german pop,3329.99185,6447.759400000001,0.2441381126,5715.64599,1609.5656,467.63252,5449.223680000001,554515.0376
german pop rock,2997.504,6184.0,0.22036940000000002,5514.0,1269.2,325.0,5088.0,704000.0000000001
glitch pop,2156.8,5350.0,0.3002108,6788.0,1123.0,371.6,2982.0,560000.0
